"year","month","gov_gop","sen_gop","rep_gop","gov_dem","sen_dem","rep_dem","president","close","unemployment_rate"
1963,"Jul",16,34,182,34,68,262,"dem",NA,5.6
1963,"Aug",16,34,182,34,68,262,"dem",NA,5.4
1963,"Sep",16,34,182,34,68,262,"dem",NA,5.5
1963,"Oct",16,34,182,34,68,262,"dem",NA,5.5
1963,"Nov",16,34,182,34,68,262,"dem",NA,5.7
1963,"Dec",16,34,182,34,68,262,"dem",NA,5.5
1964,"Jan",16,34,182,34,71,262,"dem",NA,5.6
1964,"Feb",16,34,182,34,71,262,"dem",NA,5.4
1964,"Mar",16,34,182,34,71,262,"dem",NA,5.4
1964,"Apr",16,34,182,34,71,262,"dem",NA,5.3
1964,"May",16,34,182,34,71,262,"dem",NA,5.1
1964,"Jun",16,34,182,34,71,262,"dem",NA,5.2
1964,"Jul",16,34,182,34,71,262,"dem",NA,4.9
1964,"Aug",16,34,182,34,71,262,"dem",NA,5
1964,"Sep",16,34,182,34,71,262,"dem",NA,5.1
1964,"Oct",16,34,182,34,71,262,"dem",NA,5.1
1964,"Nov",16,34,182,34,71,262,"dem",NA,4.8
1964,"Dec",16,34,182,34,71,262,"dem",NA,5
1965,"Jan",17,32,141,33,69,301,"dem",NA,4.9
1965,"Feb",17,32,141,33,69,301,"dem",NA,5.1
1965,"Mar",17,32,141,33,69,301,"dem",NA,4.7
1965,"Apr",17,32,141,33,69,301,"dem",NA,4.8
1965,"May",17,32,141,33,69,301,"dem",NA,4.6
1965,"Jun",17,32,141,33,69,301,"dem",NA,4.6
1965,"Jul",17,32,141,33,69,301,"dem",NA,4.4
1965,"Aug",17,32,141,33,69,301,"dem",NA,4.4
1965,"Sep",17,32,141,33,69,301,"dem",NA,4.3
1965,"Oct",17,32,141,33,69,301,"dem",NA,4.2
1965,"Nov",17,32,141,33,69,301,"dem",NA,4.1
1965,"Dec",17,32,141,33,69,301,"dem",NA,4
1966,"Jan",18,33,141,33,70,301,"dem",NA,4
1966,"Feb",18,33,141,33,70,301,"dem",NA,3.8
1966,"Mar",18,33,141,33,70,301,"dem",NA,3.8
1966,"Apr",18,33,141,33,70,301,"dem",NA,3.8
1966,"May",18,33,141,33,70,301,"dem",NA,3.9
1966,"Jun",18,33,141,33,70,301,"dem",NA,3.8
1966,"Jul",18,33,141,33,70,301,"dem",NA,3.8
1966,"Aug",18,33,141,33,70,301,"dem",NA,3.8
1966,"Sep",18,33,141,33,70,301,"dem",NA,3.7
1966,"Oct",18,33,141,33,70,301,"dem",NA,3.7
1966,"Nov",18,33,141,33,70,301,"dem",NA,3.6
1966,"Dec",18,33,141,33,70,301,"dem",NA,3.8
1967,"Jan",25,36,188,27,64,251,"dem",NA,3.9
1967,"Feb",25,36,188,27,64,251,"dem",NA,3.8
1967,"Mar",25,36,188,27,64,251,"dem",NA,3.8
1967,"Apr",25,36,188,27,64,251,"dem",NA,3.8
1967,"May",25,36,188,27,64,251,"dem",NA,3.8
1967,"Jun",25,36,188,27,64,251,"dem",NA,3.9
1967,"Jul",25,36,188,27,64,251,"dem",NA,3.8
1967,"Aug",25,36,188,27,64,251,"dem",NA,3.8
1967,"Sep",25,36,188,27,64,251,"dem",NA,3.8
1967,"Oct",25,36,188,27,64,251,"dem",NA,4
1967,"Nov",25,36,188,27,64,251,"dem",NA,3.9
1967,"Dec",25,36,188,27,64,251,"dem",NA,3.8
1968,"Jan",26,39,188,26,65,251,"dem",NA,3.7
1968,"Feb",26,39,188,26,65,251,"dem",NA,3.8
1968,"Mar",26,39,188,26,65,251,"dem",NA,3.7
1968,"Apr",26,39,188,26,65,251,"dem",NA,3.5
1968,"May",26,39,188,26,65,251,"dem",NA,3.5
1968,"Jun",26,39,188,26,65,251,"dem",NA,3.7
1968,"Jul",26,39,188,26,65,251,"dem",NA,3.7
1968,"Aug",26,39,188,26,65,251,"dem",NA,3.5
1968,"Sep",26,39,188,26,65,251,"dem",NA,3.4
1968,"Oct",26,39,188,26,65,251,"dem",NA,3.4
1968,"Nov",26,39,188,26,65,251,"dem",NA,3.4
1968,"Dec",26,39,188,26,65,251,"dem",NA,3.4
1969,"Jan",31,43,199,22,57,250,"dem",NA,3.4
1969,"Feb",31,43,199,22,57,250,"dem",NA,3.4
1969,"Mar",31,43,199,22,57,250,"dem",NA,3.4
1969,"Apr",31,43,199,22,57,250,"dem",NA,3.4
1969,"May",31,43,199,22,57,250,"dem",NA,3.4
1969,"Jun",31,43,199,22,57,250,"dem",NA,3.5
1969,"Jul",31,43,199,22,57,250,"dem",NA,3.5
1969,"Aug",31,43,199,22,57,250,"dem",NA,3.5
1969,"Sep",31,43,199,22,57,250,"dem",NA,3.7
1969,"Oct",31,43,199,22,57,250,"dem",NA,3.7
1969,"Nov",31,43,199,22,57,250,"dem",NA,3.5
1969,"Dec",31,43,199,22,57,250,"dem",NA,3.5
1970,"Jan",32,43,199,20,58,250,"dem",NA,3.9
1970,"Feb",32,43,199,20,58,250,"dem",NA,4.2
1970,"Mar",32,43,199,20,58,250,"dem",NA,4.4
1970,"Apr",32,43,199,20,58,250,"dem",NA,4.6
1970,"May",32,43,199,20,58,250,"dem",NA,4.8
1970,"Jun",32,43,199,20,58,250,"dem",NA,4.9
1970,"Jul",32,43,199,20,58,250,"dem",NA,5
1970,"Aug",32,43,199,20,58,250,"dem",NA,5.1
1970,"Sep",32,43,199,20,58,250,"dem",NA,5.4
1970,"Oct",32,43,199,20,58,250,"dem",NA,5.5
1970,"Nov",32,43,199,20,58,250,"dem",NA,5.9
1970,"Dec",32,43,199,20,58,250,"dem",NA,6.1
1971,"Jan",21,44,185,30,55,259,"dem",NA,5.9
1971,"Feb",21,44,185,30,55,259,"dem",NA,5.9
1971,"Mar",21,44,185,30,55,259,"dem",NA,6
1971,"Apr",21,44,185,30,55,259,"dem",NA,5.9
1971,"May",21,44,185,30,55,259,"dem",NA,5.9
1971,"Jun",21,44,185,30,55,259,"dem",NA,5.9
1971,"Jul",21,44,185,30,55,259,"dem",NA,6
1971,"Aug",21,44,185,30,55,259,"dem",NA,6.1
1971,"Sep",21,44,185,30,55,259,"dem",NA,6
1971,"Oct",21,44,185,30,55,259,"dem",NA,5.8
1971,"Nov",21,44,185,30,55,259,"dem",NA,6
1971,"Dec",21,44,185,30,55,259,"dem",NA,6
1972,"Jan",20,44,185,31,57,259,"dem",NA,5.8
1972,"Feb",20,44,185,31,57,259,"dem",NA,5.7
1972,"Mar",20,44,185,31,57,259,"dem",NA,5.8
1972,"Apr",20,44,185,31,57,259,"dem",NA,5.7
1972,"May",20,44,185,31,57,259,"dem",NA,5.7
1972,"Jun",20,44,185,31,57,259,"dem",NA,5.7
1972,"Jul",20,44,185,31,57,259,"dem",NA,5.6
1972,"Aug",20,44,185,31,57,259,"dem",NA,5.6
1972,"Sep",20,44,185,31,57,259,"dem",NA,5.5
1972,"Oct",20,44,185,31,57,259,"dem",NA,5.6
1972,"Nov",20,44,185,31,57,259,"dem",NA,5.3
1972,"Dec",20,44,185,31,57,259,"dem",NA,5.2
1973,"Jan",19,42,195,32,56,249,"dem",NA,4.9
1973,"Feb",19,42,195,32,56,249,"dem",NA,5
1973,"Mar",19,42,195,32,56,249,"dem",NA,4.9
1973,"Apr",19,42,195,32,56,249,"dem",NA,5
1973,"May",19,42,195,32,56,249,"dem",NA,4.9
1973,"Jun",19,42,195,32,56,249,"dem",NA,4.9
1973,"Jul",19,42,195,32,56,249,"dem",NA,4.8
1973,"Aug",20,42,195,32,56,249,"dem",NA,4.8
1973,"Sep",20,42,195,32,56,249,"dem",NA,4.8
1973,"Oct",20,42,195,32,56,249,"dem",NA,4.6
1973,"Nov",20,42,195,32,56,249,"dem",NA,4.8
1973,"Dec",20,42,195,32,56,249,"dem",NA,4.9
1974,"Jan",18,45,195,34,59,249,"dem",NA,5.1
1974,"Feb",18,45,195,34,59,249,"dem",NA,5.2
1974,"Mar",18,45,195,34,59,249,"dem",NA,5.1
1974,"Apr",18,45,195,34,59,249,"dem",NA,5.1
1974,"May",18,45,195,34,59,249,"dem",NA,5.1
1974,"Jun",18,45,195,34,59,249,"dem",NA,5.4
1974,"Jul",18,45,195,34,59,249,"dem",NA,5.5
1974,"Aug",18,45,195,34,59,249,"dem",NA,5.5
1974,"Sep",18,45,195,34,59,249,"dem",NA,5.9
1974,"Oct",18,45,195,34,59,249,"dem",NA,6
1974,"Nov",18,45,195,34,59,249,"dem",NA,6.6
1974,"Dec",18,45,195,34,59,249,"dem",NA,7.2
1975,"Jan",13,38,148,37,61,295,"dem",NA,8.1
1975,"Feb",13,38,148,37,61,295,"dem",NA,8.1
1975,"Mar",13,38,148,37,61,295,"dem",NA,8.6
1975,"Apr",13,38,148,37,61,295,"dem",NA,8.8
1975,"May",13,38,148,37,61,295,"dem",NA,9
1975,"Jun",13,38,148,37,61,295,"dem",NA,8.8
1975,"Jul",13,38,148,37,61,295,"dem",NA,8.6
1975,"Aug",13,38,148,37,61,295,"dem",NA,8.4
1975,"Sep",13,38,148,37,61,295,"dem",NA,8.4
1975,"Oct",13,38,148,37,61,295,"dem",NA,8.4
1975,"Nov",13,38,148,37,61,295,"dem",NA,8.3
1975,"Dec",13,38,148,37,61,295,"dem",NA,8.2
1976,"Jan",13,39,148,37,65,295,"dem",NA,7.9
1976,"Feb",13,39,148,37,65,295,"dem",NA,7.7
1976,"Mar",13,39,148,37,65,295,"dem",NA,7.6
1976,"Apr",13,39,148,37,65,295,"dem",NA,7.7
1976,"May",13,39,148,37,65,295,"dem",NA,7.4
1976,"Jun",13,39,148,37,65,295,"dem",NA,7.6
1976,"Jul",13,39,148,37,65,295,"dem",NA,7.8
1976,"Aug",13,39,148,37,65,295,"dem",NA,7.8
1976,"Sep",13,39,148,37,65,295,"dem",NA,7.6
1976,"Oct",13,39,148,37,65,295,"dem",NA,7.7
1976,"Nov",13,39,148,37,65,295,"dem",NA,7.8
1976,"Dec",13,39,148,37,65,295,"dem",NA,7.8
1977,"Jan",12,38,147,38,62,294,"dem",NA,7.5
1977,"Feb",12,38,147,38,62,294,"dem",NA,7.6
1977,"Mar",12,38,147,38,62,294,"dem",NA,7.4
1977,"Apr",12,38,147,38,62,294,"dem",NA,7.2
1977,"May",12,38,147,38,62,294,"dem",NA,7
1977,"Jun",12,38,147,39,62,294,"dem",NA,7.2
1977,"Jul",12,38,147,40,62,294,"dem",NA,6.9
1977,"Aug",12,38,147,40,62,294,"dem",NA,7
1977,"Sep",12,38,147,40,62,294,"dem",NA,6.8
1977,"Oct",12,38,147,40,62,294,"dem",NA,6.8
1977,"Nov",12,38,147,41,62,294,"dem",NA,6.8
1977,"Dec",12,38,147,41,62,294,"dem",NA,6.4
1978,"Jan",12,41,147,38,66,294,"dem",NA,6.4
1978,"Feb",12,41,147,38,66,294,"dem",NA,6.3
1978,"Mar",12,41,147,38,66,294,"dem",NA,6.3
1978,"Apr",12,41,147,38,66,294,"dem",NA,6.1
1978,"May",12,41,147,38,66,294,"dem",NA,6
1978,"Jun",12,41,147,38,66,294,"dem",NA,5.9
1978,"Jul",12,41,147,38,66,294,"dem",NA,6.2
1978,"Aug",12,41,147,39,66,294,"dem",NA,5.9
1978,"Sep",12,41,147,39,66,294,"dem",NA,6
1978,"Oct",12,41,147,39,66,294,"dem",NA,5.8
1978,"Nov",12,41,147,39,66,294,"dem",NA,5.9
1978,"Dec",12,41,147,39,66,294,"dem",NA,6
1979,"Jan",19,41,160,32,58,280,"dem",NA,5.9
1979,"Feb",19,41,160,32,58,280,"dem",NA,5.9
1979,"Mar",19,41,160,32,58,280,"dem",NA,5.8
1979,"Apr",19,41,160,32,58,280,"dem",NA,5.8
1979,"May",19,41,160,32,58,280,"dem",NA,5.6
1979,"Jun",19,41,160,32,58,280,"dem",NA,5.7
1979,"Jul",19,41,160,32,58,280,"dem",NA,5.7
1979,"Aug",19,41,160,32,58,280,"dem",NA,6
1979,"Sep",19,41,160,32,58,280,"dem",NA,5.9
1979,"Oct",19,41,160,32,58,280,"dem",NA,6
1979,"Nov",19,41,160,32,58,280,"dem",NA,5.9
1979,"Dec",19,41,160,32,58,280,"dem",NA,6
1980,"Jan",19,42,160,32,59,280,"dem",NA,6.3
1980,"Feb",19,42,160,32,59,280,"dem",NA,6.3
1980,"Mar",20,42,160,31,59,280,"dem",NA,6.3
1980,"Apr",20,42,160,31,59,280,"dem",NA,6.9
1980,"May",20,42,160,31,59,280,"dem",NA,7.5
1980,"Jun",20,42,160,31,59,280,"dem",NA,7.6
1980,"Jul",20,42,160,31,59,280,"dem",NA,7.8
1980,"Aug",20,42,160,31,59,280,"dem",NA,7.7
1980,"Sep",20,42,160,31,59,280,"dem",NA,7.5
1980,"Oct",20,42,160,31,59,280,"dem",NA,7.5
1980,"Nov",20,42,160,31,59,280,"dem",NA,7.5
1980,"Dec",20,42,160,31,59,280,"dem",NA,7.2
1981,"Jan",24,53,196,27,46,246,"dem",NA,7.5
1981,"Feb",24,53,196,27,46,246,"dem",NA,7.4
1981,"Mar",24,53,196,27,46,246,"dem",NA,7.4
1981,"Apr",24,53,196,27,46,246,"dem",NA,7.2
1981,"May",24,53,196,27,46,246,"dem",NA,7.5
1981,"Jun",24,53,196,27,46,246,"dem",NA,7.5
1981,"Jul",24,53,196,27,46,246,"dem",NA,7.2
1981,"Aug",24,53,196,27,46,246,"dem",NA,7.4
1981,"Sep",24,53,196,27,46,246,"dem",NA,7.6
1981,"Oct",24,53,196,27,46,246,"dem",NA,7.9
1981,"Nov",24,53,196,27,46,246,"dem",NA,8.3
1981,"Dec",24,53,196,27,46,246,"dem",NA,8.5
1982,"Jan",24,54,196,27,47,246,"dem",NA,8.6
1982,"Feb",24,54,196,27,47,246,"dem",NA,8.9
1982,"Mar",24,54,196,27,47,246,"dem",NA,9
1982,"Apr",24,54,196,27,47,246,"dem",NA,9.3
1982,"May",24,54,196,27,47,246,"dem",NA,9.4
1982,"Jun",24,54,196,27,47,246,"dem",NA,9.6
1982,"Jul",24,54,196,27,47,246,"dem",NA,9.8
1982,"Aug",24,54,196,27,47,246,"dem",NA,9.8
1982,"Sep",24,54,196,27,47,246,"dem",NA,10.1
1982,"Oct",24,54,196,27,47,246,"dem",NA,10.4
1982,"Nov",24,54,196,27,47,246,"dem",NA,10.8
1982,"Dec",24,54,196,27,47,246,"dem",NA,10.8
1983,"Jan",16,55,168,34,46,272,"dem",NA,10.4
1983,"Feb",16,55,168,34,46,272,"dem",NA,10.4
1983,"Mar",16,55,168,34,46,272,"dem",NA,10.3
1983,"Apr",16,55,168,34,46,271,"dem",NA,10.2
1983,"May",16,55,168,34,46,271,"dem",NA,10.1
1983,"Jun",16,55,168,34,46,271,"dem",NA,10.1
1983,"Jul",16,55,168,34,46,272,"dem",NA,9.4
1983,"Aug",16,55,168,34,46,272,"dem",NA,9.5
1983,"Sep",16,55,168,34,46,272,"dem",NA,9.2
1983,"Oct",16,55,168,34,46,272,"dem",NA,8.8
1983,"Nov",16,55,168,34,46,272,"dem",NA,8.5
1983,"Dec",16,55,168,34,46,272,"dem",NA,8.3
1984,"Jan",16,55,168,34,45,271,"dem",NA,8
1984,"Feb",16,55,168,34,45,271,"dem",NA,7.8
1984,"Mar",15,55,168,34,45,271,"dem",NA,7.8
1984,"Apr",15,55,168,34,45,271,"dem",NA,7.7
1984,"May",15,55,168,35,45,271,"dem",NA,7.4
1984,"Jun",15,55,168,35,45,271,"dem",NA,7.2
1984,"Jul",15,55,168,35,45,271,"dem",NA,7.5
1984,"Aug",15,55,168,35,45,271,"dem",NA,7.5
1984,"Sep",15,55,168,35,45,271,"dem",NA,7.3
